Doctor Name,City,Specialization,Doctor Qualification,Experience(Years),Total_Reviews,Patient Satisfaction Rate(%age),Avg Time to Patients(mins),Wait Time(mins),Hospital Address,Doctors Link,Fee(PKR)
Dr. Muhammad Akhtar Masood,RAHIM-YAR-KHAN,Pediatrician,"MBBS, MCPS, FCPS",10.0,0.0,94.0,14.0,11.0,"The Children Complex Hospital, Babar Colony, Rahim Yar Khan",No Link Available,600.0
Dr. Asim Munir Alvi Consultant Endocrinologist,RAHIM-YAR-KHAN,General Physician,"MBBS, FCPS (Medicine), FCPS (Endocrinology) , MRCD, RCP (UK), Member of the American Association of Clinical Endocrinology &amp; Member of the American Association European Society of Endocrinology",10.0,29.0,97.0,15.0,20.0,"Medicare Hospital, Tipu Sultan Colony, Multan",https://www.marham.pk/doctors/rahim-yar-khan/general-physician/dr-asim-munir-alvi-consultant-endocrinologist#reviews-scroll,3000.0
Dr. Usman Ghani,RAHIM-YAR-KHAN,General Physician,MBBS,14.0,18.0,100.0,14.0,9.0,"Rehmat Clinic &amp; Diagnostic Center, Bypass Road, Rahim Yar Khan",https://www.marham.pk/doctors/rahim-yar-khan/general-physician/dr-usman-ghani#reviews-scroll,500.0
Dr. Usman Masood,RAHIM-YAR-KHAN,General Physician,"MBBS, MCPS(Medicine), FCPS 2",7.0,8.0,100.0,17.0,13.0,"Al Noor Hospital, Rahim Yar Khan, Rahim Yar Khan",https://www.marham.pk/doctors/rahim-yar-khan/general-physician/dr-usman-masood#reviews-scroll,800.0
Prof. Dr. Moazzam Ali Atif,RAHIM-YAR-KHAN,General Physician,"MBBS, FCPS",10.0,0.0,94.0,14.0,11.0,No Address Available,No Link Available,1000.0
Dr. Osama Munir,RAHIM-YAR-KHAN,General Physician,"MBBS, Diploma in Diabetes Education, Certificate in Diabetes Management",6.0,38.0,97.0,15.0,13.0,No Address Available,https://www.marham.pk/online-consultation/general-physician/rahim-yar-khan/dr-osama-munir-17865#reviews-scroll,1000.0
Dr. Muhammad Ilyas,RAHIM-YAR-KHAN,General Physician,MBBS,3.0,0.0,94.0,14.0,11.0,"Iqbalabad Hospital, Rahim Yar Khan, Rahim Yar Khan",No Link Available,300.0
Dr. Muhammad Hakim Ali,RAHIM-YAR-KHAN,General Physician,"MBBS, MD",2.0,1.0,100.0,14.0,11.0,"Fareed Ud Din Clinic, Khanpur, Rahim Yar Khan",https://www.marham.pk/doctors/rahim-yar-khan/general-physician/dr-muhammad-hakim-ali#reviews-scroll,400.0
Dr. Rabia Saeed,RAHIM-YAR-KHAN,General Physician,MBBS,5.0,3.0,100.0,10.0,5.0,"Hamdani Hospital Rahimyar Khan, Rahim Yar Khan, Rahim Yar Khan",https://www.marham.pk/doctors/rahim-yar-khan/general-physician/dr-rabia-saeed#reviews-scroll,1500.0
Dr. Mohammad Irfan Qazi,RAHIM-YAR-KHAN,General Physician," MBBS , FCPS ",10.0,8.0,100.0,16.0,6.0,"IDC Lab &amp; Diagnostic Center Rahim Yar Khan, Sheikh Zaid Hospital Road, Rahim Yar Khan",https://www.marham.pk/doctors/rahim-yar-khan/general-physician/dr-mohammad-irfan-qazi#reviews-scroll,1000.0
Dr. Nada Mughal,RAHIM-YAR-KHAN,General Physician,MBBS,4.0,12.0,92.0,13.0,4.0,No Address Available,https://www.marham.pk/online-consultation/general-physician/rahim-yar-khan/dr-nada-mughal-20526#reviews-scroll,500.0
Dr. Haq Nawaz,RAHIM-YAR-KHAN,General Physician,MBBS,28.0,0.0,94.0,14.0,11.0,No Address Available,No Link Available,500.0
Dr. Mubashir Younis,RAHIM-YAR-KHAN,General Physician, MBBS ,2.0,0.0,94.0,14.0,11.0,No Address Available,No Link Available,500.0
Prof. Dr. Abid Hussain,RAHIM-YAR-KHAN,Nephrologist,"MBBS, MCPS (Med), FCPS (Nephrology)",20.0,180.0,98.0,14.0,15.0,"Hamza Medicare Hospital, Officers Colony, Rahim Yar Khan",https://www.marham.pk/doctors/rahim-yar-khan/nephrologist/prof-dr-abid-hussain#reviews-scroll,1500.0
Asst. Prof. Dr. Azhar Iqbal,RAHIM-YAR-KHAN,Nephrologist,"MBBS, FCPS",11.0,37.0,100.0,15.0,12.0,"(RYK) Rahim Yar Khan Hospital, Darhi Sanghi, Rahim Yar Khan",https://www.marham.pk/doctors/rahim-yar-khan/nephrologist/asst-prof-dr-azhar-iqbal#reviews-scroll,1500.0
Dr. Ahmad Raza,RAHIM-YAR-KHAN,Nephrologist,"MBBS, FCPS* (Nephrology), MRCP (UK)",4.0,1.0,100.0,10.0,0.0,"Al Khidmat Medical Complex Hospital, Trust Colony, Rahim Yar Khan",https://www.marham.pk/doctors/rahim-yar-khan/nephrologist/dr-ahmad-raza#reviews-scroll,1000.0
Dr. Kanza Rehman,RAHIM-YAR-KHAN,Ent Specialist, MBBS ,4.0,67.0,95.0,13.0,8.0,"Sayyad Clinic, Model Town, Rahim Yar Khan",https://www.marham.pk/doctors/rahim-yar-khan/ent-specialist/dr-kanza-rehman#reviews-scroll,999.0
Dr. Irshad Ul Haq,RAHIM-YAR-KHAN,Ent Specialist,"MBBS,FCPS",10.0,0.0,94.0,14.0,11.0,"Daar Us Salam Medical Center, Officers Colony, Rahim Yar Khan",No Link Available,1000.0
Dr. Shahzad Qadri,RAHIM-YAR-KHAN,Ent Specialist,"MBBS,FCPS",10.0,0.0,94.0,14.0,11.0,"Junaid Medicare, Rahim Yar Khan, Rahim Yar Khan",No Link Available,700.0
Prof. Dr. Ghulam Sabir,RAHIM-YAR-KHAN,Eye Surgeon,"MBBS, DOMS, FCPS, MCPS",10.0,0.0,94.0,14.0,11.0,"Al Basarat Hospital, Haji Muhammad Colony, Rahim Yar Khan",No Link Available,800.0
Dr. Faiz Rasool Chaudhry,RAHIM-YAR-KHAN,Eye Surgeon,"MBBS, FCPS",10.0,0.0,94.0,14.0,11.0,"Faiz Eye Center, Babar Colony, Rahim Yar Khan",No Link Available,700.0
Dr. Ali Bokhari,RAHIM-YAR-KHAN,Neuro Surgeon,"MBBS,FCPS",10.0,0.0,94.0,14.0,11.0,"Abdullah Hospital, Rahim Yar Khan, Rahim Yar Khan",No Link Available,600.0
Dr. Ammara Batool,RAJAN-PUR,Gynecologist," MBBS , FCPS (Obstetrics &amp; Gynaecology) ",10.0,2.0,100.0,14.0,11.0,No Address Available,https://www.marham.pk/online-consultation/gynecologist/rajan-pur/dr-ammara-batool-20096#reviews-scroll,800.0
Dr. Afia Majid,RAJAN-PUR,Gynecologist," MBBS , MCPS (Gynecology) ",6.0,0.0,94.0,14.0,11.0,No Address Available,No Link Available,800.0
Dr. Muhammad Faisal Khursheed,RAJAN-PUR,Pulmonologist / Lung Specialist," MBBS , FCPS (Pulmonology) ",6.0,2.0,100.0,10.0,0.0,"Nishtar Chest Care Clinic, Jampur, Rajan Pur",https://www.marham.pk/doctors/rajan-pur/pulmonologist/dr-muhammad-faisal-khursheed#reviews-scroll,1000.0
Dr. Zeeshan Sajid,RAJAN-PUR,Pediatrician,"MBBS, MCPS (Pediatrics)",10.0,1.0,100.0,10.0,0.0,"Wali Muhammad Child Care Clinic, Zia Shaheed Rd, Rajan Pur",https://www.marham.pk/doctors/rajan-pur/pediatrician/dr-zeeshan-sajid#reviews-scroll,500.0
Dr. Muhammad Arslan Tariq,RAJAN-PUR,General Physician, MBBS ,3.0,0.0,94.0,14.0,11.0,"Jinnah Hospital, Faisal Town, Lahore",No Link Available,300.0
Dr. Shabana Mehmood Malik,RAJAN-PUR,General Physician,MBBS,3.0,1.0,100.0,14.0,11.0,No Address Available,https://www.marham.pk/online-consultation/general-physician/rajan-pur/dr-shabana-mehmood-malik-30870#reviews-scroll,800.0
Dr. Ahmad Hamza,RAJAN-PUR,General Physician,MBBS,3.0,0.0,94.0,14.0,11.0,No Address Available,No Link Available,400.0
Dr. Haris Shakeel,RAJAN-PUR,General Physician,MBBS,1.0,0.0,94.0,14.0,11.0,No Address Available,No Link Available,500.0
Assoc. Prof. Dr. Muhammad Abdul Quddus,RAWALAKOT,Gastroenterologist,"MBBS, FCPS (Gastroenterology)",12.0,0.0,94.0,14.0,11.0,No Address Available,No Link Available,2000.0
Asst. Prof. Dr. Raja Imtiaz Ahmed,RAWALAKOT,Pediatrician,"MBBS, FCPS",10.0,6.0,100.0,22.0,15.0,No Address Available,https://www.marham.pk/online-consultation/pediatrician/rawalakot/asst-prof-dr-raja-imtiaz-ahmed-18560#reviews-scroll,800.0
Assoc. Prof. Dr. Shahid Iqbal,RAWALAKOT,Pediatrician,"MBBS, FCPS",14.0,6.0,100.0,13.0,8.0,"Ali Imran Hospital, Poonch, Rawalakot",https://www.marham.pk/doctors/rawalakot/pediatrician/assoc-prof-dr-shahid-iqbal#reviews-scroll,1000.0
Dr. Sania Altaf,RAWALAKOT,Pediatrician,"MD, FCPS (Pediatrics)",6.0,4.0,100.0,18.0,7.0,"United Hospital, Bypass Road, Rawalakot",https://www.marham.pk/doctors/rawalakot/pediatrician/dr-sania-altaf#reviews-scroll,1000.0
Dr. Muhammad Zubair,RAWALAKOT,Gastroenterologist,MD,4.0,0.0,94.0,14.0,11.0,No Address Available,No Link Available,1000.0
Dr. Ifra Gul,RENALA-KHURD,General Physician,MBBS,2.0,1.0,100.0,14.0,11.0,No Address Available,https://www.marham.pk/online-consultation/general-physician/renala-khurd/dr-ifra-gul-38527#reviews-scroll,700.0
Dr. Bushra Hassan,RIYADH,Dermatologist,"MBBS, FCPS(Dermatology)",4.0,47.0,98.0,14.0,11.0,No Address Available,https://www.marham.pk/online-consultation/dermatologist/riyadh/dr-bushra-hassan-19730#reviews-scroll,1000.0
Dr. Saadia Waqas,RIYADH,Pediatrician,"MBBS, MCPS, IPPC",7.0,0.0,94.0,14.0,11.0,No Address Available,No Link Available,600.0
Dr. Muhammad Yousuf,RIYADH,Pediatrician,"MBBS, DCH, Early Child Nutrition",29.0,0.0,94.0,14.0,11.0,No Address Available,No Link Available,500.0
Dr. Tanweer Iqbal,RIYADH,Nephrologist,"MBBS, FRCP, FASN, FCPS (Medicine), FCPS (Nephrology), SCE Nephrology, ESCNeph",20.0,0.0,94.0,14.0,11.0,No Address Available,No Link Available,3000.0
Dr. Muhammad Kashif,SADIQABAD,Dermatologist,"MBBS, Fellow American Aesthetic Association.",10.0,103.0,95.0,15.0,12.0,"Moosa Skin &amp; Laser Clinic, punjab, Rahim Yar Khan",https://www.marham.pk/doctors/sadiqabad/dermatologist/dr-muhammad-kashif#reviews-scroll,1000.0
Dr. Sumera Yousaf,SADIQABAD,Dermatologist,"MBBS, MCPS (Dermatology ), Diplomate In Aesthetics Medicine",15.0,226.0,100.0,14.0,9.0,"Abdullah Medical complex(Khanpur), Khanpur, Khanpur",https://www.marham.pk/doctors/rahim-yar-khan/dermatologist/dr-sumera-yousaf#reviews-scroll,3000.0
Dr. Abdul Raheem,SADIQABAD,Dermatologist,"MBBS, D-Derm (UK)",2.0,8.0,91.0,13.0,10.0,"Amna Hospital, Hospital Rd, Sadiqabad",https://www.marham.pk/doctors/sadiqabad/dermatologist/dr-abdul-raheem#reviews-scroll,700.0
Dr. Sarah Anwar,SADIQABAD,Dermatologist," MBBS , , FCPS DERMATOLOGIST ",5.0,12.0,92.0,14.0,11.0,"Harris hospita, Quaide azam road, Rahim Yar Khan",https://www.marham.pk/doctors/rahim-yar-khan/dermatologist/dr-sarah-anwar#reviews-scroll,1000.0
Dr. M.akram Ch,SADIQABAD,Dermatologist,MBBS,10.0,0.0,94.0,14.0,11.0,"Akram Skin Care Hospital, Mujahid Colony, Sadiqabad",No Link Available,400.0
Dr. Mansoor Mubarik,SADIQABAD,Dermatologist,"MBBS,FCPS",10.0,0.0,94.0,14.0,11.0,"Millat Hospital, Sadiqabad, Sadiqabad",No Link Available,400.0
Dr. Sehar Anwar,SADIQABAD,Gynecologist,"MBBS, FCPS (Obstetrics &amp; Gynecology)",4.0,0.0,94.0,14.0,11.0,No Address Available,No Link Available,800.0
Dr. Muhammad Saddiq Haris,SADIQABAD,Urologist,"MBBS, FCPS (Urology)",9.0,43.0,100.0,14.0,9.0,"Doctors Clinic, Mazhar Farid Colony, Sadiqabad",https://www.marham.pk/doctors/rahim-yar-khan/urologist/dr-muhammad-saddiq-haris#reviews-scroll,1500.0
Dr. Muhammad Imran Sohail,SADIQABAD,Pulmonologist / Lung Specialist," MBBS , MCPS ( Pulmonology ) ",14.0,31.0,97.0,12.0,9.0,"Amin Medical Complex, Shahi Road, Sadiqabad",https://www.marham.pk/doctors/rahim-yar-khan/pulmonologist/dr-muhammad-imran-sohail#reviews-scroll,1000.0
Dr. Rasheed Ahmad Chohdry,SADIQABAD,Orthopedic Surgeon,"MBBS,FCPS",10.0,0.0,94.0,14.0,11.0,"Thq Sadiq Abad Hospital, Sadiqabad City, Sadiqabad",No Link Available,5.0
Dr. Waqar Cheema,SADIQABAD,Orthopedic Surgeon,"MBBS,FCPS",10.0,0.0,94.0,14.0,11.0,"Thq Sadiq Abad Hospital, Sadiqabad City, Sadiqabad",No Link Available,5.0
Dr. Mohsin Bilal,SADIQABAD,Orthopedic Surgeon,"MBBS,FCPS",10.0,0.0,94.0,14.0,11.0,"Thq Sadiq Abad Hospital, Sadiqabad City, Sadiqabad",No Link Available,5.0
Dr. Mujahid Mehmood,SADIQABAD,Orthopedic Surgeon,MBBS,10.0,0.0,94.0,14.0,11.0,"Thq Sadiq Abad Hospital, Sadiqabad City, Sadiqabad",No Link Available,5.0
Dr. Sher Mehmood,SADIQABAD,Orthopedic Surgeon,MBBS,10.0,0.0,94.0,14.0,11.0,"Thq Sadiq Abad Hospital, Sadiqabad City, Sadiqabad",No Link Available,5.0
Dr. Sajid Iqbal,SADIQABAD,Pediatrician,"MBBS,FCPS",10.0,0.0,94.0,14.0,11.0,"Thq Sadiq Abad Hospital, Sadiqabad City, Sadiqabad",No Link Available,5.0
Dr. Saleem Ahmad Eidin,SADIQABAD,Pediatrician,MBBS,10.0,0.0,94.0,14.0,11.0,"Khushi Clinic, Mujahid Colony, Sadiqabad",No Link Available,400.0
Dr. Nimra Arshad,SADIQABAD,Gynecologist,MBBS,4.0,0.0,94.0,14.0,11.0,No Address Available,No Link Available,500.0
Dr. Asif Javed Bismil,SADIQABAD,General Physician,MD,14.0,0.0,94.0,14.0,11.0,No Address Available,No Link Available,800.0
Dr. Imran Raees,SADIQABAD,General Physician, MBBS ,8.0,1.0,100.0,14.0,11.0,No Address Available,https://www.marham.pk/online-consultation/general-physician/sadiqabad/dr-imran-raees-28926#reviews-scroll,300.0
Dr. Yousaf Saeed,SADIQABAD,General Physician, MBBS ,1.0,0.0,94.0,14.0,11.0,No Address Available,No Link Available,250.0
Dr. Taimur Ul Hassan,SADIQABAD,General Physician, MBBS ,2.0,0.0,94.0,14.0,11.0,"Thq Sadiq Abad Hospital, Sadiqabad City, Sadiqabad",No Link Available,500.0
Dr. Sara Rashid,SADIQABAD,Family Medicine,MBBS,5.0,0.0,94.0,14.0,11.0,No Address Available,No Link Available,500.0
Dr. Muhammad Abdul Moheymun,SADIQABAD,General Surgeon,MBBS,4.0,0.0,94.0,14.0,11.0,No Address Available,No Link Available,500.0
Dr. Fiza Amjad,SADIQABAD,General Physician,MBBS,2.0,16.0,100.0,14.0,11.0,No Address Available,https://www.marham.pk/online-consultation/general-physician/sadiqabad/dr-fiza-amjad-38112#reviews-scroll,500.0
Dr. Munir Ahmad,SADIQABAD,General Physician,"MBBS,FCPS",10.0,0.0,94.0,14.0,11.0,"Thq Sadiq Abad Hospital, Sadiqabad City, Sadiqabad",No Link Available,5.0
Dr. Khalid Masood,SADIQABAD,General Physician,MBBS,10.0,0.0,94.0,14.0,11.0,"Thq Sadiq Abad Hospital, Sadiqabad City, Sadiqabad",No Link Available,5.0
Dr. Nadeem Akhter,SADIQABAD,General Physician,MBBS,10.0,0.0,94.0,14.0,11.0,"Thq Sadiq Abad Hospital, Sadiqabad City, Sadiqabad",No Link Available,5.0
Dr. Ihsan Ul Haq,SADIQABAD,General Physician,"MBBS,FCPS",10.0,0.0,94.0,14.0,11.0,"Thq Sadiq Abad Hospital, Sadiqabad City, Sadiqabad",No Link Available,5.0
Dr. Suhaib Arshad Chaudhry,SADIQABAD,Eye Surgeon,"MBBS, MCPS, DICO",10.0,0.0,94.0,14.0,11.0,"Millat Hospital, Sadiqabad, Sadiqabad",No Link Available,400.0
Dr. Javed Anjum,SADIQABAD,Neuro Surgeon,"MBBS, MS( Neurologist)",10.0,0.0,94.0,14.0,11.0,"Millat Hospital, Sadiqabad, Sadiqabad",No Link Available,400.0
Dr. Aisha Ch,SAHIWAL,Dermatologist,"MBBS, FCPS(Dermatology)",9.0,269.0,99.0,14.0,10.0,"Dr Aisha Skin Laser and Aesthetics Clinic, Fareed Town, Sahiwal",https://www.marham.pk/doctors/sahiwal/dermatologist/dr-aisha-ch#reviews-scroll,2000.0
Dr. Rabbia Ijaz,SAHIWAL,Dermatologist,MBBS,6.0,14.0,100.0,16.0,5.0,"Jamila Rafiq polyclinic, Railway Rd, Sahiwal",https://www.marham.pk/doctors/sahiwal/dermatologist/dr-rabbia-ijaz#reviews-scroll,800.0
Dr. Anwar Ul Haq,SAHIWAL,Dermatologist,"MBBS,MCPS",30.0,0.0,94.0,14.0,11.0,"Skin Care Center, Fateh Sher Colony, Sahiwal",No Link Available,1000.0
Asst. Prof. Dr. Waqas Arshad,SAHIWAL,Neurologist,"MBBS, FCPS",9.0,242.0,99.0,15.0,11.0,"Chughtai Medical Center Jail Road, Gulberg 5, Lahore",https://www.marham.pk/doctors/sahiwal/neuro-physician/asst-prof-dr-waqas-arshad#reviews-scroll,1500.0
Dr. Batool Zahoor,SAHIWAL,Neurologist,"MBBS( DUHS Karachi), FCPS (Neurology)",11.0,132.0,99.0,16.0,12.0,"Mid City Hospital, Chowk, Sahiwal",https://www.marham.pk/doctors/sahiwal/neuro-physician/dr-batool-zahoor#reviews-scroll,2000.0
Dr. Muhammad Asif,SAHIWAL,Neurologist," MBBS , FCPS ",5.0,51.0,98.0,12.0,10.0,"Sahiwal International Hospital, Near General Bus Stand, Sahiwal",https://www.marham.pk/doctors/sahiwal/neuro-physician/dr-muhammad-asif#reviews-scroll,1500.0
Dr. Noor Ul Ain Rauf,SAHIWAL,Gynecologist," MBBS , , FCPS (Obstetrics &amp; Gynecologic) ",6.0,4.0,100.0,14.0,11.0,No Address Available,https://www.marham.pk/online-consultation/gynecologist/sahiwal/dr-noor-ul-ain-rauf-26395#reviews-scroll,1000.0
Dr. Anam Jameel,SAHIWAL,Gynecologist,"MBBS (Gold Medalist), FCPS (Obstetrics &amp; Gynecology)",5.0,0.0,94.0,14.0,11.0,No Address Available,No Link Available,1000.0
Asst. Prof. Dr. Hassaan Yousaf Bhutta,SAHIWAL,Gastroenterologist,"MBBS, FCPS (Gastroenterology)",10.0,27.0,100.0,14.0,14.0,"Wamiq Surgical Hospital, Fateh Sher Colony, Sahiwal",https://www.marham.pk/doctors/khanewal/gastroenterologist/asst-prof-dr-hassaan-yousaf-bhutta#reviews-scroll,1500.0
Dr. Shahid Pervaiz,SAHIWAL,Pulmonologist / Lung Specialist,"MBBS, DTCD, FCPS (Chest Medicine), MCPS (Medicine)",14.0,110.0,98.0,16.0,9.0,"Sahiwal Chest Clinic, Kot Khadim Ali Shah, Sahiwal",https://www.marham.pk/doctors/sahiwal/pulmonologist/dr-shahid-pervaiz#reviews-scroll,1000.0
Dr. Aun Bin Shahid,SAHIWAL,Pulmonologist / Lung Specialist," MBBS , FCPS (Pulmonology) ",10.0,205.0,98.0,16.0,13.0,"Makki Hospital, Sahiwal, Sahiwal",https://www.marham.pk/doctors/sahiwal/pulmonologist/dr-aun-bin-shahid#reviews-scroll,1000.0
Asst. Prof. Dr. Muhammad Waseem,SAHIWAL,Pulmonologist / Lung Specialist,"MBBS, FCPS (Pulmonology)",10.0,202.0,99.0,14.0,12.0,"Waseem Chest Clinic, fateh sher Road, Sahiwal",https://www.marham.pk/doctors/sahiwal/pulmonologist/asst-prof-dr-muhammad-waseem#reviews-scroll,1000.0
Dr. Sohail Nasir,SAHIWAL,Pulmonologist / Lung Specialist,"MBBS, DTCD",32.0,34.0,100.0,13.0,12.0,"Langrial Surgimed Hospital, Fateh Sher Colony, Sahiwal",https://www.marham.pk/doctors/sahiwal/pulmonologist/dr-sohail-nasir#reviews-scroll,1000.0
Dr. M Shahid Pervaiz,SAHIWAL,Pulmonologist / Lung Specialist,MBBS,10.0,0.0,94.0,14.0,11.0,"Civil Hospital Sahiwal, Noor Shah, Sahiwal",No Link Available,1000.0
Dr. Saad Salman Ahmad,SAHIWAL,Orthopedic Surgeon,"MBBS, FCPS (Orthopedic Surgery), MRCPS (Glasgow)",7.0,23.0,96.0,15.0,9.0,"University hospital sahiwal, Sahiwal, Sahiwal",https://www.marham.pk/doctors/sahiwal/orthopedic-surgeon/dr-saad-salman-ahmad#reviews-scroll,1000.0
Dr. Ahsan Nawaz,SAHIWAL,Orthopedic Surgeon,"MBBS , FCPS (Orthopedic Surgery)",7.0,18.0,100.0,17.0,9.0,"Al-Khidmat Hospital Sahiwal, Jamia Farida Road, Sahiwal",https://www.marham.pk/doctors/sahiwal/orthopedic-surgeon/dr-ahsan-nawaz#reviews-scroll,1500.0
Dr. Arslan Ali,SAHIWAL,Orthopedic Surgeon,"MBBS, FCPS (Orthopedic Surgery)",13.0,8.0,100.0,11.0,14.0,"Saeed surgical complex, rehmatullah town, Okara",https://www.marham.pk/doctors/sahiwal/orthopedic-surgeon/dr-arslan-ali#reviews-scroll,1500.0
Dr. M Hassan Ibrahim,SAHIWAL,Orthopedic Surgeon,"MBBS , MS (Orthopedic Surgery - Gold Medalist)",7.0,2.0,100.0,10.0,5.0,"Wamiq Surgical Hospital, Fateh Sher Colony, Sahiwal",https://www.marham.pk/doctors/sahiwal/orthopedic-surgeon/dr-m-hassan-ibrahim#reviews-scroll,1500.0
Dr. Humayun Israr,SAHIWAL,Orthopedic Surgeon,"MBBS , Master Of Surgery (Trainee)",7.0,16.0,100.0,16.0,7.0,"Zafar Hospital And Maternity Home, Muslim Abad, Sahiwal",https://www.marham.pk/doctors/sahiwal/orthopedic-surgeon/dr-humayun-israr#reviews-scroll,500.0
Dr. Omair Mustafa Dogar,SAHIWAL,Pediatrician,"MBBS, FCPS (Pediatrics)",10.0,2.0,100.0,10.0,10.0,No Address Available,https://www.marham.pk/online-consultation/pediatrician/sahiwal/dr-omair-mustafa-dogar-36871#reviews-scroll,2000.0
Dr. Abdur Rehman Ilyas,SAHIWAL,General Physician,MBBS,2.0,12.0,100.0,14.0,11.0,No Address Available,https://www.marham.pk/online-consultation/general-physician/sahiwal/dr-abdur-rehman-ilyas-17016#reviews-scroll,2000.0
Dr. Rehana Irfan,SAHIWAL,General Physician,MBBS,20.0,0.0,94.0,14.0,11.0,No Address Available,No Link Available,500.0
Dr. Saqib Manzoor,SAHIWAL,General Physician,"MBBS FCPS-I (Medicine) RMP ACLS Certificate ( American Heart association ), FRCEM",2.0,4.0,100.0,15.0,0.0,"DHQ Hospital Pakpattan, Pakpatan, Pakpattan",https://www.marham.pk/doctors/sahiwal/general-physician/dr-saqib-manzoor#reviews-scroll,1000.0
Dr. Malik Azhar Ali Ahmad,SAHIWAL,General Physician, MBBS ,28.0,8.0,100.0,14.0,11.0,No Address Available,https://www.marham.pk/online-consultation/general-physician/sahiwal/dr-malik-azhar-ali-ahmad-28850#reviews-scroll,1000.0
Dr. Iqra Javed,SAHIWAL,General Physician, MBBS ,4.0,1.0,100.0,14.0,11.0,No Address Available,https://www.marham.pk/online-consultation/general-physician/sahiwal/dr-iqra-javed-30444#reviews-scroll,300.0
Dr. Hafiza Maroofa Tariq,SAHIWAL,General Physician, MBBS ,1.0,0.0,94.0,14.0,11.0,No Address Available,No Link Available,600.0
Dr. Ameer Hamza,SAHIWAL,Ent Specialist, MBBS ,4.0,0.0,94.0,14.0,11.0,"FARHAT HOSPITAL, Sahiwal, Sahiwal",No Link Available,1500.0
Dr. Muhammad Numan Farooq,SAHIWAL,General Physician,MBBS,1.0,0.0,94.0,14.0,11.0,No Address Available,No Link Available,300.0
Dr. Luqman Akhtar,SAHIWAL,General Physician,MBBS,1.0,0.0,94.0,14.0,11.0,No Address Available,No Link Available,350.0
Dr. Saad Bin Waheed,SAHIWAL,General Physician,MBBS,4.0,1.0,100.0,20.0,0.0,No Address Available,https://www.marham.pk/online-consultation/general-physician/sahiwal/dr-saad-bin-waheed-33380#reviews-scroll,1000.0
Dr. Noor Fatima,SAHIWAL,General Physician,MBBS,1.0,0.0,94.0,14.0,11.0,No Address Available,No Link Available,600.0
Dr. Nida E Zahra,SAHIWAL,General Physician,MBBS,4.0,1.0,50.0,14.0,11.0,No Address Available,https://www.marham.pk/online-consultation/general-physician/sahiwal/dr-nida-e-zahra-34785#reviews-scroll,500.0
Dr. Samee Ullah Khan,SAHIWAL,Nephrologist,"MBBS, FCPS (Nephrology)",12.0,275.0,99.0,16.0,17.0,"City Cinic Sahiwal, Noor Shah, Sahiwal",https://www.marham.pk/doctors/sahiwal/nephrologist/dr-samee-ullah-khan#reviews-scroll,2000.0
Asst. Prof. Dr. Ahmed Ayyaz,SAHIWAL,Nephrologist,"MBBS, MD (Nephrology)",12.0,23.0,100.0,14.0,12.0,"Sahiwal International Hospital, Near General Bus Stand, Sahiwal",https://www.marham.pk/doctors/sahiwal/nephrologist/asst-prof-dr-ahmed-ayyaz#reviews-scroll,1500.0
Dr. Kamran Siddique,SAHIWAL,Ent Specialist,"MBBS, M.Phil Public Health, FCPS (Resident)",8.0,23.0,100.0,14.0,8.0,"Aqil Memorial Hospital, Sahiwal, Sahiwal",https://www.marham.pk/doctors/sahiwal/ent-specialist/dr-kamran-siddique#reviews-scroll,1000.0
Dr. Abdul Manan,SAHIWAL,Ent Specialist,"MBBS, FCPS (Part 1)",2.0,16.0,100.0,11.0,8.0,No Address Available,https://www.marham.pk/online-consultation/ent-specialist/sahiwal/dr-abdul-manan-32881#reviews-scroll,600.0
Dr. Asad Shah,SAHIWAL,Neuro Surgeon,"MBBS, MPH, MS (Neurosurgery)",8.0,9.0,100.0,9.0,5.0,"Evercare Hospital, Nespak Housing Scheme, Lahore",https://www.marham.pk/doctors/sahiwal/neuro-surgeon/dr-asad-shah#reviews-scroll,1500.0
Dr. Muhammed Shahnawaz,SAMUNDRI,General Physician,"MBBS, FCPS(IMM)",6.0,38.0,100.0,14.0,4.0,"Chawla Medical Center, Samundri, Faisalabad",https://www.marham.pk/doctors/faisalabad/general-physician/dr-muhammed-shahnawaz#reviews-scroll,500.0
Dr. Muhammad Anees,SAMUNDRI,General Physician, MBBS ,3.0,0.0,94.0,14.0,11.0,"Mian Medicare Samundri, Samundri, Samundri",No Link Available,500.0
Dr. Asif Ali,SHAHDADPUR,Orthopedic Surgeon,"MBBS, FCPS (Orthopaedic)",5.0,3.0,100.0,15.0,5.0,"Ibne Qasim hospital, Qasimabad, Hyderabad",https://www.marham.pk/doctors/hyderabad/orthopedic-surgeon/dr-asif-ali#reviews-scroll,500.0
Dr. Afia Shareef Chaudhary,SHAHKOT,Gynecologist,MBBS,11.0,6.0,100.0,14.0,11.0,No Address Available,https://www.marham.pk/online-consultation/general-physician/shahkot/dr-afia-shareef-chaudhary-20667#reviews-scroll,500.0
Dr. Beenish Anwar,SHEIKHUPURA,Dermatologist,"MBBS, MCPS",5.0,0.0,94.0,14.0,11.0,"Darul Barkat Medicare Hospital, Stadium Road, Sheikhupura",No Link Available,700.0
